degree,degree_values,degree_geocde,strength,strength_values,strength_geocde,betweenness,betweenness_values,betweenness_geocde,betweenness_w,betweenness_w_values,betweenness_w_geocde,closeness,closeness_values,closeness_geocde,closeness_w,closeness_w_values,closeness_w_geocde
146,2,3136702.0,126,43.0192307692308,2932903.0,97,0.0,2304251.0,88,0.0,2108207.0,211,0.3487394957983193,5106224.0,38,0.022258092797062506,1301407.0
151,2,3301009.0,7,38.65384615384611,1302405.0,101,0.0,2305506.0,90,0.0,2207702.0,95,0.3480083857442348,2408003.0,179,0.022026701506552886,4106407.0
158,2,3303807.0,68,37.46153846153844,1600279.0,102,0.0,2312304.0,92,0.0,2507507.0,105,0.3480083857442348,2605459.0,183,0.021952143716351444,4108809.0
163,2,4119905.0,111,35.86538461538461,2910800.0,103,0.0,2312908.0,95,0.0,2408003.0,205,0.3480083857442348,5105101.0,186,0.021924544212296233,4118402.0
166,2,4208807.0,65,34.8653846153846,1501808.0,104,0.0,2313302.0,96,0.0,2304103.0,0,0.3472803347280335,1100049.0,57,0.021875593963430858,4108304.0
167,2,5003207.0,94,27.519230769230752,2301109.0,105,0.0,2605459.0,97,0.0,2304251.0,3,0.3472803347280335,1100122.0,19,0.021815773977259218,1200401.0
174,2,5101803.0,201,25.80769230769228,5100201.0,106,0.0,2510808.0,101,0.0,2305506.0,107,0.3472803347280335,2604106.0,195,0.021616261278294333,4317202.0
180,2,4127106.0,66,24.55769230769233,1505908.0,107,0.0,2604106.0,102,0.0,2312304.0,109,0.3472803347280335,2924009.0,199,0.021536173886141697,4318002.0
185,2,4128203.0,162,20.8269230769231,3505500.0,109,0.0,2924009.0,103,0.0,2312908.0,116,0.3472803347280335,2613909.0,77,0.021462759675273817,4208203.0
187,2,4108403.0,42,19.46153846153841,1302900.0,111,0.0,2910800.0,104,0.0,2313302.0,212,0.3472803347280335,5106752.0,177,0.021334440588822653,4104303.0
205,2,5105101.0,116,16.7115384615385,2613909.0,112,0.0,2919306.0,105,0.0,2605459.0,14,0.3465553235908142,1100304.0,194,0.02108482293340889,4315602.0
212,2,5106752.0,169,16.3076923076923,4109401.0,113,0.0,2913606.0,107,0.0,2604106.0,191,0.33739837398373984,4314407.0,48,0.021006828679480373,1505304.0
14,1,1100304.0,107,12.9807692307692,2604106.0,114,0.0,3170701.0,108,0.0,3143302.0,192,0.33739837398373984,4301602.0,42,0.02080681862007791,1302900.0
32,1,1303809.0,173,12.9807692307692,3516200.0,115,0.0,2612208.0,109,0.0,2924009.0,193,0.33739837398373984,4304408.0,192,0.0199968031060836,4301602.0
56,1,1508100.0,130,11.480769230769239,3104007.0,116,0.0,2613909.0,111,0.0,2910800.0,194,0.33739837398373984,4315602.0,174,0.019725957275660636,5101803.0
60,1,1702109.0,192,11.0576923076923,4301602.0,117,0.0,2903201.0,112,0.0,2919306.0,195,0.33739837398373984,4317202.0,107,0.019401589527816746,2604106.0
96,1,2304103.0,48,9.34615384615384,1505304.0,118,0.0,2933307.0,114,0.0,3170701.0,196,0.33739837398373984,4317509.0,173,0.019383204516160917,3516200.0
